NO_NAME,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
0,569520,3,0,0,0,0,2,0.629027314,1,0,0,1,10238,12000,0,0,0,0,0
1,750365,0,1,0,0,1,1,0.357757117,0,1,0,0,10238,16000,0,0,0,0,1
2,199901,0,0,0,0,0,3,0.493145785,1,1,0,0,10238,11000,0,0,0,0,0
3,478866,0,1,0,0,2,3,0.206012851,1,1,0,1,32765,11000,0,0,0,0,0
4,731664,1,1,0,1,1,3,0.388365888,1,1,0,0,32765,12000,0,2,0,1,1
5,877557,2,0,0,2,0,2,0.619127373,1,0,0,1,10238,13000,0,3,0,3,0
6,930134,3,1,0,3,0,2,0.49294355,0,0,1,1,10238,13000,0,7,0,3,0
7,461006,1,0,0,0,2,3,0.468689297,0,0,0,1,10238,14000,0,0,0,0,1
8,68366,2,0,0,2,2,3,0.521814936,0,1,1,0,10238,13000,0,0,0,0,0
9,445911,2,0,0,0,0,2,0.561531032,1,1,0,1,32765,11000,0,0,0,0,1
10,275820,3,1,0,3,0,2,0.620361264,1,0,1,1,10238,10000,0,6,2,7,0
11,521399,3,0,0,3,0,2,0.729830882,1,0,1,0,32765,12000,0,4,0,0,0
12,429728,2,1,0,2,0,2,0.637044744,1,1,1,1,10238,8000,0,4,1,2,0
13,569640,0,0,0,0,2,2,0.591259972,1,1,0,1,10238,11697.00321,0,0,0,0,0
14,980181,1,1,0,1,0,0,0.461567963,1,1,1,1,10238,12000,0,0,2,1,0
15,906223,1,0,0,0,0,2,0.762797941,0,0,1,0,10238,11697.00321,0,0,0,0,0
16,517747,3,1,0,3,2,2,0.796174846,1,1,1,1,32765,11697.00321,0,10,2,1,0
17,24851,0,1,0,0,1,1,0.392353375,0,1,1,0,32765,12000,0,0,0,0,1
18,104086,1,0,0,0,2,2,0.68059428,1,1,0,1,32765,11697.00321,0,0,0,0,1
19,240658,0,0,0,0,0,3,0.417713982,1,1,0,1,10238,18000,0,0,0,0,1
20,484399,0,0,0,0,0,3,0.409513531,0,1,0,0,10238,17000,0,0,0,0,1
21,912828,0,1,0,0,0,0,0.553260053,1,0,1,1,32765,8000,0,0,0,0,1
22,892754,2,1,0,2,1,1,0.330950262,1,1,1,1,10238,13000,0,3,1,1,0
23,217,0,1,0,0,1,1,0.379288799,0,1,0,0,10238,17000,0,0,0,0,0
24,633896,3,1,0,3,0,2,0.50063066,1,1,1,1,32765,7000,0,13,2,3,0
25,193110,1,0,0,1,2,0,0.551970181,1,1,1,0,10238,14000,1,0,0,0,0
26,98515,2,1,0,1,0,0,0.62699605,1,1,0,0,10238,13000,0,1,1,0,0
27,165623,1,1,0,1,1,1,0.294797481,1,1,1,0,10238,15000,0,0,0,1,0
28,493590,1,1,0,1,2,0,0.551950495,0,0,0,0,10238,17000,0,0,0,1,0
29,389792,3,1,0,0,2,2,0.649820471,1,0,1,1,32765,9000,0,0,0,0,1
30,642614,2,1,0,2,0,0,0.521804435,1,0,1,1,92101,7000,0,2,0,1,0
31,951465,3,0,0,3,2,2,0.701268324,1,1,1,1,10238,10000,0,3,1,1,0
32,496987,0,1,0,0,1,1,0.171244029,1,1,1,1,10238,9000,0,0,0,0,0
